Rooms,Price,Distance,Landsize,BuildingArea
2,1480000.0,2.5,202.0,
2,1035000.0,2.5,156.0,79.0
3,1465000.0,2.5,134.0,150.0
3,850000.0,2.5,94.0,
4,1600000.0,2.5,120.0,142.0
2,941000.0,2.5,181.0,
3,1876000.0,2.5,245.0,210.0
2,1636000.0,2.5,256.0,107.0
1,300000.0,2.5,0.0,
2,1097000.0,2.5,220.0,75.0
2,700000.0,2.5,0.0,
3,1350000.0,2.5,214.0,190.0
2,750000.0,2.5,0.0,94.0
2,1172500.0,2.5,195.0,
1,441000.0,2.5,0.0,
2,1310000.0,2.5,238.0,97.0
3,1200000.0,2.5,113.0,110.0
3,1176500.0,2.5,138.0,105.0
3,955000.0,2.5,183.0,
2,890000.0,2.5,150.0,73.0
4,1330000.0,2.5,780.0,135.0
3,900000.0,2.5,0.0,
3,1090000.0,2.5,4290.0,27.0
2,500000.0,2.5,0.0,60.0
2,1100000.0,2.5,124.0,135.0
2,1315000.0,2.5,147.0,85.0
1,426000.0,2.5,0.0,
3,1447500.0,2.5,166.0,174.0
1,457000.0,2.5,0.0,50.0
2,1135000.0,2.5,98.0,128.0
4,1542000.0,2.5,0.0,
3,1290000.0,2.5,147.0,18.0
3,1290000.0,2.5,168.0,124.0
1,470000.0,2.5,0.0,50.0
2,1180000.0,2.5,162.0,91.0
3,1195000.0,2.5,120.0,128.0
2,1012500.0,2.5,182.0,82.0
2,1030000.0,2.5,172.0,81.0
3,840000.0,13.5,303.0,225.0
3,730000.0,13.5,0.0,145.0
3,770000.0,13.5,0.0,145.0
2,603000.0,13.5,272.0,84.0
3,700000.0,13.5,239.0,134.0
3,600000.0,13.5,290.0,116.0
2,500000.0,13.5,168.0,86.0
3,720000.0,13.5,620.0,
4,785000.0,13.5,597.0,127.0
6,725000.0,13.5,976.0,186.0
2,450000.0,13.5,110.0,90.0
2,515000.0,13.5,141.0,73.0
2,530000.0,13.5,120.0,94.0
3,895000.0,13.5,1063.0,133.0
3,805000.0,13.5,0.0,105.0
3,752000.0,13.5,265.0,130.0
2,440000.0,13.5,192.0,
5,755000.0,13.5,596.0,
3,700000.0,13.5,165.0,133.0
3,830000.0,13.5,971.0,113.0
2,462500.0,13.5,164.0,
3,670000.0,13.5,657.0,
2,675000.0,13.5,612.0,100.0
3,1042000.0,13.5,612.0,174.0
3,910000.0,13.5,775.0,
4,773000.0,13.5,531.0,309.0
3,810000.0,13.5,555.0,192.0
3,715000.0,13.5,422.0,126.0
3,790000.0,13.5,614.0,
3,540000.0,13.5,161.0,101.0
3,825000.0,13.5,293.0,102.0
3,685000.0,13.5,579.0,113.0
3,805000.0,13.5,623.0,
2,510000.0,13.5,141.0,76.0
3,612000.0,13.5,212.0,
3,662000.0,13.5,612.0,
4,978000.0,13.5,532.0,
3,720000.0,13.5,585.0,
4,765000.0,13.5,509.0,
4,900000.0,13.5,628.0,146.0
2,1275000.0,3.3,120.0,82.0
2,1455000.0,3.3,159.0,
3,2850000.0,3.3,211.0,198.0
3,1850000.0,3.3,128.0,133.0
2,1436000.0,3.3,130.0,81.0
2,1110000.0,3.3,147.0,
2,1550000.0,3.3,167.0,
4,2300000.0,3.3,153.0,180.0
3,1550000.0,3.3,718.0,
3,1800000.0,3.3,132.0,159.0
2,2120000.0,3.3,199.0,107.0
3,1800000.0,3.3,253.0,
3,1800000.0,3.3,90.0,122.0
2,1810000.0,3.3,240.0,
3,2615000.0,3.3,177.0,181.0
5,2100000.0,3.3,237.0,
3,1300000.0,3.3,129.0,
3,1370000.0,3.3,0.0,85.0
2,1000000.0,3.3,288.0,
3,2575000.0,3.3,228.0,
2,1322500.0,3.3,149.0,98.0
2,1562500.0,3.3,141.0,83.0
3,2000000.0,3.3,211.0,147.0
3,1900000.0,3.3,209.0,
3,3010000.0,3.3,147.0,146.0
4,2800000.0,3.3,327.0,254.0
2,647000.0,3.3,0.0,
3,2100000.0,3.3,120.0,123.0
3,2000000.0,3.3,238.0,131.0
1,442500.0,3.3,0.0,34.0
4,4735000.0,3.3,330.0,207.0
2,1340000.0,3.3,136.0,
3,1801000.0,3.3,202.0,
3,1532000.0,3.3,0.0,
3,3755000.0,3.3,325.0,
